id,job_role,country,experience_level,salary_usd,skills,company_type
93,Data Analyst,Canada,Entry,25762,"NLP, Statistics, Data Visualization",Startup
94,Computer Vision Engineer,Germany,Entry,36990,"Computer Vision, Data Visualization, Python",Enterprise
95,Research Scientist,Germany,Lead,190336,"Deep Learning, TensorFlow, PyTorch",Enterprise
96,Deep Learning Engineer,India,Lead,69833,"SQL, PyTorch, Data Visualization",Startup
97,Computer Vision Engineer,Germany,Senior,90569,"NLP, Statistics, MLOps",Enterprise
98,Deep Learning Engineer,UK,Mid,86631,"TensorFlow, MLOps, Computer Vision",Enterprise
99,Research Scientist,USA,Entry,28816,"Statistics, Deep Learning, MLOps",Mid-size
100,ML Engineer,Australia,Senior,110801,"TensorFlow, Data Visualization, MLOps",Startup
101,Data Scientist,UK,Lead,180864,"NLP, PyTorch, SQL",Mid-size
102,AI Engineer,Australia,Entry,30316,"NLP, Deep Learning, TensorFlow",Mid-size
103,Research Scientist,India,Lead,75875,"MLOps, Computer Vision, TensorFlow",Mid-size
104,Deep Learning Engineer,UK,Mid,79592,"TensorFlow, SQL, Computer Vision",Startup
105,AI Engineer,UK,Entry,43355,"NLP, Deep Learning, PyTorch",Enterprise
106,Computer Vision Engineer,Canada,Senior,112242,"PyTorch, Data Visualization, MLOps",Mid-size
107,NLP Engineer,USA,Mid,65394,"NLP, Statistics, Python",Mid-size
108,Deep Learning Engineer,Canada,Lead,168433,"SQL, TensorFlow, PyTorch",Startup
109,Data Scientist,USA,Senior,148345,"Statistics, Python, TensorFlow",Enterprise
110,AI Engineer,UK,Senior,121289,"NLP, Deep Learning, Python",Startup
111,Research Scientist,India,Lead,62135,"SQL, NLP, MLOps",Enterprise
112,NLP Engineer,Canada,Senior,151905,"PyTorch, Deep Learning, Data Visualization",Startup
113,AI Engineer,UK,Senior,138747,"Deep Learning, Computer Vision, MLOps",Enterprise
114,NLP Engineer,USA,Lead,238002,"Statistics, SQL, Python",Startup
115,Deep Learning Engineer,Canada,Mid,90302,"Deep Learning, Python, NLP",Enterprise
116,ML Engineer,UK,Senior,97987,"Statistics, TensorFlow, NLP",Startup
117,Deep Learning Engineer,Australia,Senior,117720,"SQL, PyTorch, TensorFlow",Startup
118,Data Analyst,USA,Lead,177973,"Deep Learning, NLP, SQL",Mid-size
119,Data Analyst,Canada,Mid,70507,"Statistics, NLP, MLOps",Enterprise
120,Data Analyst,Australia,Entry,37688,"TensorFlow, Data Visualization, Deep Learning",Startup
121,Research Scientist,India,Mid,22379,"Statistics, Deep Learning, PyTorch",Mid-size
122,Data Scientist,UK,Lead,169305,"SQL, Python, MLOps",Enterprise
123,Data Analyst,Australia,Entry,40585,"SQL, Deep Learning, TensorFlow",Enterprise
124,Data Analyst,Germany,Senior,103500,"Computer Vision, SQL, Data Visualization",Enterprise
125,Research Scientist,Germany,Mid,59662,"PyTorch, TensorFlow, Python",Enterprise
126,Deep Learning Engineer,Germany,Lead,193401,"Python, NLP, Deep Learning",Mid-size
127,Data Scientist,Australia,Mid,58856,"NLP, TensorFlow, Python",Startup
128,ML Engineer,USA,Mid,93518,"SQL, Data Visualization, TensorFlow",Enterprise
129,ML Engineer,Australia,Entry,34441,"MLOps, SQL, Python",Enterprise
130,NLP Engineer,India,Entry,19054,"Python, TensorFlow, NLP",Enterprise
131,Deep Learning Engineer,Canada,Lead,182832,"SQL, Data Visualization, TensorFlow",Startup
132,Data Analyst,USA,Mid,104664,"Deep Learning, NLP, PyTorch",Startup
133,ML Engineer,Germany,Mid,64069,"Python, Data Visualization, TensorFlow",Enterprise
134,NLP Engineer,India,Lead,70102,"TensorFlow, SQL, Python",Mid-size
135,Computer Vision Engineer,India,Mid,23816,"Python, Deep Learning, Data Visualization",Mid-size
136,Data Scientist,India,Senior,48390,"NLP, Python, Deep Learning",Mid-size
137,AI Engineer,UK,Entry,36347,"Python, Data Visualization, Computer Vision",Enterprise
138,Research Scientist,Germany,Lead,175195,"Python, Deep Learning, NLP",Startup
139,Data Analyst,Canada,Senior,104557,"Computer Vision, Deep Learning, PyTorch",Startup
140,Data Scientist,Germany,Senior,130770,"MLOps, TensorFlow, Deep Learning",Startup
141,Computer Vision Engineer,Germany,Senior,107450,"Deep Learning, Python, MLOps",Enterprise
142,Deep Learning Engineer,Australia,Senior,141343,"SQL, Data Visualization, Computer Vision",Mid-size
143,Data Analyst,India,Entry,12864,"TensorFlow, Computer Vision, Python",Startup
144,Research Scientist,UK,Lead,168761,"SQL, Python, NLP",Startup
145,Data Analyst,Germany,Lead,155305,"PyTorch, SQL, MLOps",Startup
146,NLP Engineer,Canada,Lead,217203,"MLOps, NLP, Computer Vision",Mid-size
147,NLP Engineer,USA,Mid,84429,"Deep Learning, Statistics, Data Visualization",Startup
148,Research Scientist,Australia,Mid,97364,"PyTorch, MLOps, Statistics",Enterprise
149,ML Engineer,Australia,Senior,143390,"SQL, Statistics, PyTorch",Startup
150,Deep Learning Engineer,India,Senior,46953,"PyTorch, SQL, MLOps",Enterprise
151,Data Scientist,Germany,Mid,88756,"Deep Learning, NLP, Computer Vision",Mid-size
152,AI Engineer,UK,Senior,110463,"Data Visualization, PyTorch, MLOps",Startup
153,AI Engineer,Australia,Senior,137402,"MLOps, Python, PyTorch",Mid-size
154,Computer Vision Engineer,Germany,Senior,122479,"NLP, Computer Vision, Deep Learning",Startup
155,Data Scientist,USA,Lead,219943,"SQL, NLP, Deep Learning",Mid-size
156,NLP Engineer,UK,Entry,34552,"Statistics, SQL, Python",Startup
157,NLP Engineer,Canada,Senior,144710,"Statistics, NLP, MLOps",Mid-size
158,Data Analyst,UK,Lead,187280,"PyTorch, Computer Vision, Deep Learning",Startup
159,NLP Engineer,UK,Senior,97400,"Python, Computer Vision, MLOps",Startup
160,Research Scientist,Australia,Lead,219079,"Python, Computer Vision, NLP",Mid-size
161,NLP Engineer,Canada,Senior,105034,"PyTorch, Deep Learning, Python",Mid-size
162,Research Scientist,India,Lead,68666,"MLOps, SQL, Statistics",Startup
163,NLP Engineer,Germany,Entry,31130,"Statistics, PyTorch, Data Visualization",Enterprise
164,NLP Engineer,Germany,Lead,141062,"Computer Vision, NLP, TensorFlow",Enterprise
165,ML Engineer,Canada,Lead,177857,"Computer Vision, Data Visualization, PyTorch",Mid-size
166,Data Analyst,Australia,Senior,140246,"TensorFlow, Statistics, SQL",Mid-size
167,Computer Vision Engineer,Canada,Senior,108816,"Deep Learning, Computer Vision, SQL",Startup
168,Research Scientist,UK,Senior,127614,"TensorFlow, PyTorch, Data Visualization",Mid-size
169,ML Engineer,Germany,Lead,175307,"Computer Vision, Statistics, SQL",Enterprise
170,NLP Engineer,Australia,Mid,67667,"Data Visualization, TensorFlow, Python",Startup
171,ML Engineer,Canada,Mid,97989,"NLP, Deep Learning, Computer Vision",Mid-size
172,Data Analyst,Canada,Lead,214162,"MLOps, Python, Data Visualization",Mid-size
173,AI Engineer,Canada,Entry,51658,"TensorFlow, Python, Statistics",Startup
174,Research Scientist,Germany,Mid,67749,"TensorFlow, SQL, PyTorch",Mid-size
175,Computer Vision Engineer,Canada,Lead,182304,"Python, PyTorch, MLOps",Mid-size
176,Data Analyst,Germany,Senior,113803,"Data Visualization, Statistics, Computer Vision",Enterprise
177,ML Engineer,UK,Mid,56588,"Python, Statistics, TensorFlow",Enterprise
178,Computer Vision Engineer,Australia,Lead,185581,"PyTorch, NLP, Data Visualization",Enterprise
179,Data Scientist,USA,Mid,84782,"TensorFlow, Data Visualization, MLOps",Startup
180,Research Scientist,India,Senior,48142,"Python, MLOps, NLP",Startup
181,Computer Vision Engineer,Germany,Senior,115470,"Deep Learning, SQL, Python",Enterprise
182,Computer Vision Engineer,Germany,Senior,132956,"Computer Vision, TensorFlow, PyTorch",Startup
183,AI Engineer,UK,Lead,174299,"NLP, PyTorch, Python",Startup
184,Data Scientist,India,Entry,19206,"SQL, MLOps, PyTorch",Enterprise
185,ML Engineer,UK,Mid,52105,"Python, NLP, SQL",Enterprise
186,Data Analyst,Germany,Lead,160559,"Computer Vision, SQL, NLP",Enterprise
187,Data Scientist,Germany,Senior,101003,"NLP, PyTorch, TensorFlow",Mid-size
188,NLP Engineer,UK,Lead,184472,"NLP, MLOps, Deep Learning",Mid-size
189,ML Engineer,Canada,Lead,211780,"Computer Vision, MLOps, Statistics",Mid-size
190,Research Scientist,Australia,Lead,199573,"PyTorch, SQL, Deep Learning",Startup
191,Deep Learning Engineer,Canada,Lead,191533,"PyTorch, Python, MLOps",Startup
192,Computer Vision Engineer,USA,Lead,197919,"Deep Learning, NLP, SQL",Mid-size
193,Data Analyst,UK,Entry,47595,"MLOps, Statistics, PyTorch",Mid-size
194,AI Engineer,Australia,Lead,215568,"Data Visualization, NLP, Statistics",Enterprise
195,Data Scientist,USA,Lead,216301,"Deep Learning, NLP, TensorFlow",Enterprise
196,ML Engineer,India,Entry,8215,"Computer Vision, PyTorch, TensorFlow",Enterprise
197,NLP Engineer,USA,Lead,235504,"NLP, Deep Learning, SQL",Mid-size
198,Research Scientist,Australia,Mid,96896,"Statistics, TensorFlow, Python",Startup
199,ML Engineer,India,Entry,17710,"MLOps, SQL, Data Visualization",Startup
200,Research Scientist,India,Entry,19012,"Deep Learning, NLP, SQL",Startup
201,Data Analyst,India,Senior,40054,"Data Visualization, TensorFlow, PyTorch",Mid-size
202,AI Engineer,Germany,Lead,177892,"MLOps, PyTorch, Python",Startup
203,Data Analyst,Australia,Mid,85483,"Statistics, Computer Vision, MLOps",Startup
204,ML Engineer,USA,Senior,112989,"Computer Vision, Python, Statistics",Mid-size
205,Data Scientist,UK,Lead,186540,"SQL, Data Visualization, Computer Vision",Startup
206,Deep Learning Engineer,Australia,Senior,110378,"Python, SQL, Computer Vision",Startup
207,Research Scientist,Canada,Mid,55422,"Data Visualization, Statistics, SQL",Mid-size
208,Data Analyst,Germany,Senior,102763,"NLP, MLOps, Statistics",Enterprise
209,NLP Engineer,USA,Senior,119832,"MLOps, Computer Vision, Deep Learning",Enterprise
210,Data Scientist,USA,Senior,136228,"SQL, NLP, Statistics",Startup
211,ML Engineer,Canada,Senior,134421,"TensorFlow, PyTorch, Deep Learning",Enterprise
212,Computer Vision Engineer,UK,Lead,185106,"SQL, Computer Vision, TensorFlow",Enterprise
213,NLP Engineer,Australia,Lead,158998,"SQL, Computer Vision, Statistics",Startup
214,Data Scientist,USA,Lead,224637,"MLOps, Data Visualization, PyTorch",Enterprise
215,Deep Learning Engineer,USA,Mid,77386,"Data Visualization, NLP, SQL",Startup
216,Deep Learning Engineer,Germany,Entry,49109,"PyTorch, Data Visualization, Computer Vision",Enterprise
217,Computer Vision Engineer,Australia,Mid,64269,"Computer Vision, SQL, Data Visualization",Enterprise
218,ML Engineer,India,Senior,43679,"Data Visualization, PyTorch, Computer Vision",Mid-size
219,NLP Engineer,India,Entry,14101,"NLP, PyTorch, SQL",Mid-size
220,Research Scientist,Canada,Senior,116359,"Computer Vision, Python, Statistics",Enterprise
221,Data Analyst,India,Senior,52915,"PyTorch, Python, SQL",Startup
222,Computer Vision Engineer,UK,Lead,163386,"Data Visualization, PyTorch, Python",Startup
223,AI Engineer,UK,Senior,107715,"Computer Vision, Data Visualization, SQL",Mid-size
224,ML Engineer,UK,Lead,194267,"Deep Learning, SQL, Data Visualization",Enterprise
225,Research Scientist,Australia,Senior,146396,"NLP, Data Visualization, TensorFlow",Startup
226,ML Engineer,USA,Mid,107773,"Computer Vision, Deep Learning, TensorFlow",Mid-size
227,Data Analyst,Germany,Mid,71833,"PyTorch, Python, MLOps",Enterprise
228,AI Engineer,Australia,Mid,95625,"Deep Learning, Statistics, MLOps",Startup
229,Data Analyst,USA,Entry,41265,"PyTorch, Data Visualization, NLP",Mid-size
230,Deep Learning Engineer,India,Senior,54000,"TensorFlow, Computer Vision, Deep Learning",Enterprise
231,Deep Learning Engineer,Canada,Senior,125635,"Computer Vision, Data Visualization, SQL",Startup
232,NLP Engineer,Germany,Mid,56238,"PyTorch, Data Visualization, Deep Learning",Mid-size
233,Computer Vision Engineer,India,Lead,73071,"PyTorch, MLOps, Statistics",Enterprise
234,Research Scientist,Canada,Mid,75098,"Data Visualization, SQL, Statistics",Mid-size
235,Computer Vision Engineer,India,Senior,47492,"Python, TensorFlow, Computer Vision",Enterprise
236,NLP Engineer,USA,Lead,194362,"Statistics, NLP, Computer Vision",Enterprise
237,Data Analyst,UK,Entry,32891,"NLP, Deep Learning, Statistics",Mid-size
238,Data Scientist,UK,Mid,89749,"Computer Vision, Data Visualization, Python",Enterprise
239,Deep Learning Engineer,USA,Senior,159513,"SQL, MLOps, Python",Mid-size
240,AI Engineer,India,Entry,13649,"Computer Vision, NLP, SQL",Startup
241,Data Analyst,Australia,Entry,33536,"Computer Vision, Deep Learning, SQL",Mid-size
242,NLP Engineer,UK,Lead,169721,"Python, Data Visualization, TensorFlow",Enterprise
243,ML Engineer,UK,Entry,33568,"SQL, TensorFlow, Computer Vision",Enterprise
244,Deep Learning Engineer,Germany,Senior,135781,"Statistics, Computer Vision, Data Visualization",Enterprise
245,Deep Learning Engineer,India,Entry,19658,"MLOps, Computer Vision, NLP",Enterprise
246,ML Engineer,Australia,Entry,34626,"NLP, Deep Learning, TensorFlow",Mid-size
247,NLP Engineer,UK,Entry,35034,"Statistics, Computer Vision, NLP",Startup
248,Computer Vision Engineer,Canada,Entry,41032,"MLOps, Python, SQL",Mid-size
249,Deep Learning Engineer,UK,Mid,73333,"Computer Vision, MLOps, TensorFlow",Mid-size
250,Deep Learning Engineer,Canada,Mid,63967,"Computer Vision, NLP, TensorFlow",Enterprise
251,Data Analyst,India,Entry,12106,"Deep Learning, MLOps, Python",Startup
252,Computer Vision Engineer,USA,Entry,45216,"Data Visualization, SQL, Computer Vision",Enterprise
253,ML Engineer,India,Entry,14603,"PyTorch, Statistics, TensorFlow",Startup
254,AI Engineer,Germany,Mid,56168,"Deep Learning, PyTorch, SQL",Mid-size
255,Data Scientist,India,Mid,26646,"Deep Learning, MLOps, SQL",Startup
256,Data Analyst,Canada,Mid,83675,"NLP, SQL, Python",Startup
257,Data Scientist,USA,Senior,126873,"Statistics, MLOps, PyTorch",Mid-size
258,AI Engineer,India,Entry,10695,"TensorFlow, Computer Vision, Python",Enterprise
259,Data Scientist,Germany,Senior,100167,"Statistics, PyTorch, Computer Vision",Mid-size
260,NLP Engineer,Germany,Senior,118024,"Deep Learning, Computer Vision, PyTorch",Mid-size
261,Data Scientist,Australia,Lead,209973,"SQL, NLP, MLOps",Mid-size
262,NLP Engineer,USA,Entry,25926,"Computer Vision, NLP, Deep Learning",Startup
263,ML Engineer,USA,Senior,124701,"Computer Vision, Python, MLOps",Mid-size
264,Data Scientist,USA,Lead,210429,"TensorFlow, SQL, Statistics",Startup
265,Data Analyst,USA,Mid,65188,"Deep Learning, MLOps, Python",Startup
266,Deep Learning Engineer,Australia,Lead,169447,"Statistics, Deep Learning, PyTorch",Mid-size
267,Computer Vision Engineer,Germany,Lead,140117,"Data Visualization, NLP, SQL",Enterprise
268,NLP Engineer,UK,Mid,68935,"MLOps, Computer Vision, Statistics",Enterprise
269,Data Scientist,Germany,Mid,50846,"Data Visualization, SQL, Statistics",Mid-size
270,Data Analyst,India,Senior,48817,"PyTorch, TensorFlow, Data Visualization",Enterprise
271,Data Scientist,Canada,Senior,153313,"NLP, Statistics, SQL",Enterprise
272,NLP Engineer,UK,Entry,24208,"SQL, Python, TensorFlow",Startup
273,Data Analyst,Canada,Entry,36235,"Statistics, NLP, Computer Vision",Startup
274,Research Scientist,UK,Senior,135745,"PyTorch, TensorFlow, Computer Vision",Startup
275,ML Engineer,Australia,Entry,22009,"MLOps, Python, TensorFlow",Startup
276,Data Scientist,Germany,Senior,95287,"Deep Learning, Computer Vision, Python",Startup
277,ML Engineer,UK,Entry,28512,"NLP, Python, Computer Vision",Enterprise
278,Research Scientist,Canada,Senior,114654,"Deep Learning, Data Visualization, NLP",Enterprise
279,NLP Engineer,UK,Entry,46614,"Deep Learning, SQL, PyTorch",Mid-size
280,AI Engineer,Australia,Senior,133140,"SQL, MLOps, TensorFlow",Mid-size
281,NLP Engineer,Canada,Senior,108423,"NLP, Statistics, TensorFlow",Mid-size
282,Data Scientist,USA,Lead,238696,"Data Visualization, MLOps, TensorFlow",Mid-size
283,Data Analyst,India,Lead,73570,"Data Visualization, TensorFlow, MLOps",Enterprise
284,ML Engineer,India,Lead,59202,"MLOps, Data Visualization, Deep Learning",Startup
285,Data Scientist,Australia,Entry,53268,"Deep Learning, Statistics, NLP",Startup
286,Data Scientist,UK,Lead,163930,"Computer Vision, Statistics, PyTorch",Startup
287,Data Scientist,USA,Senior,128380,"SQL, MLOps, Deep Learning",Mid-size
288,Computer Vision Engineer,Canada,Mid,75372,"MLOps, Statistics, Data Visualization",Enterprise
289,Research Scientist,Germany,Senior,118173,"Python, Data Visualization, NLP",Startup
290,Research Scientist,Canada,Lead,160582,"Statistics, SQL, Python",Mid-size
291,Data Scientist,India,Entry,16610,"Data Visualization, Python, Deep Learning",Startup
292,NLP Engineer,India,Lead,60498,"PyTorch, TensorFlow, Python",Mid-size
293,NLP Engineer,USA,Lead,200072,"TensorFlow, SQL, Data Visualization",Enterprise
294,Computer Vision Engineer,USA,Entry,28821,"Computer Vision, MLOps, Statistics",Mid-size
295,Computer Vision Engineer,UK,Mid,77202,"Python, NLP, Statistics",Startup
296,Data Analyst,Germany,Lead,196819,"Deep Learning, Python, PyTorch",Startup
297,Research Scientist,Canada,Mid,61366,"Data Visualization, PyTorch, Statistics",Startup
298,ML Engineer,Canada,Entry,49558,"Python, NLP, SQL",Enterprise
299,Data Scientist,Australia,Senior,134402,"MLOps, SQL, NLP",Enterprise
300,Data Scientist,Germany,Entry,31260,"Computer Vision, Statistics, SQL",Mid-size
301,Research Scientist,Germany,Lead,199201,"Data Visualization, MLOps, Python",Enterprise
302,Computer Vision Engineer,Canada,Senior,131434,"Python, Data Visualization, MLOps",Mid-size
303,Data Scientist,UK,Senior,110103,"Python, Statistics, Data Visualization",Mid-size
304,ML Engineer,Canada,Lead,176669,"SQL, Statistics, NLP",Startup
305,Data Analyst,UK,Senior,125442,"Data Visualization, Statistics, Python",Mid-size
306,Data Analyst,Germany,Lead,145779,"Deep Learning, Python, Statistics",Enterprise
307,Deep Learning Engineer,Australia,Mid,70568,"PyTorch, Computer Vision, SQL",Mid-size
308,ML Engineer,Canada,Mid,69298,"Python, PyTorch, Data Visualization",Startup
309,Research Scientist,Australia,Mid,82431,"Computer Vision, Deep Learning, SQL",Startup
310,ML Engineer,UK,Entry,30380,"SQL, TensorFlow, Deep Learning",Mid-size
311,AI Engineer,Canada,Mid,83836,"PyTorch, SQL, Computer Vision",Enterprise
312,Data Scientist,USA,Entry,47898,"Python, Data Visualization, Computer Vision",Enterprise
313,ML Engineer,Germany,Mid,88727,"TensorFlow, Statistics, Python",Mid-size
314,NLP Engineer,UK,Lead,184327,"MLOps, Statistics, PyTorch",Enterprise
315,Data Analyst,Germany,Entry,23368,"Python, TensorFlow, Computer Vision",Mid-size
316,NLP Engineer,Germany,Mid,61053,"NLP, Data Visualization, Python",Startup
317,NLP Engineer,Canada,Mid,56809,"NLP, TensorFlow, Computer Vision",Mid-size
318,Data Scientist,India,Mid,27702,"Deep Learning, Data Visualization, PyTorch",Mid-size
319,NLP Engineer,Germany,Mid,87430,"PyTorch, NLP, Python",Enterprise
320,Deep Learning Engineer,USA,Mid,74032,"Data Visualization, Statistics, Deep Learning",Startup
321,Deep Learning Engineer,India,Entry,17910,"TensorFlow, PyTorch, Data Visualization",Mid-size
322,Data Scientist,India,Senior,55875,"TensorFlow, SQL, MLOps",Startup
