student_id,gender,age,degree,branch,cgpa,backlogs,internships,certifications,coding_skills,communication_skills,aptitude_score,projects,placed,company_type,package_lpa,overall_skill_score,academic_performance_index,profile_strength,profile_development_score
120,Male,24,BSc,CS,6.43,0,3,3,4,6,62,5,0,,0.0,24.0,64.3,11,11
121,Female,21,BE,Mechanical,9.2,2,1,5,2,5,73,1,0,,0.0,26.666666666666668,82.0,7,7
122,Male,24,BTech,Mechanical,8.72,1,1,4,4,6,40,0,0,,0.0,16.666666666666668,82.2,5,5
123,Female,21,BSc,AI,7.02,2,2,2,8,6,80,0,1,Service,8.54,31.333333333333332,60.19999999999999,4,4
124,Male,20,BE,IT,8.43,2,1,3,2,4,81,1,0,,0.0,29.0,74.3,5,5
125,Male,21,BE,CS,6.29,1,1,0,8,7,81,3,0,,0.0,32.0,57.9,4,4
126,Female,21,BE,CS,7.14,3,3,5,2,9,44,4,0,,0.0,18.333333333333332,56.39999999999999,12,12
127,Female,22,BE,CS,7.12,0,1,5,1,7,78,2,0,,0.0,28.666666666666668,71.2,8,8
128,Male,24,BCA,Mechanical,6.52,3,3,2,4,6,71,2,0,,0.0,27.0,50.19999999999999,7,7
129,Female,21,BSc,DS,9.27,1,0,5,7,3,49,2,0,,0.0,19.666666666666668,87.69999999999999,7,7
130,Female,20,BCA,IT,8.42,3,0,3,2,6,61,5,0,,0.0,23.0,69.2,8,8
131,Female,23,BSc,Electrical,6.7,1,0,1,3,8,63,5,0,,0.0,24.666666666666668,62.0,6,6
132,Male,21,BE,CS,6.54,2,3,0,6,8,97,0,1,Service,14.63,37.0,55.400000000000006,3,3
133,Male,24,BSc,DS,5.58,3,0,3,2,4,74,0,0,,0.0,26.666666666666668,40.8,3,3
134,Male,22,BTech,DS,6.99,0,2,0,9,5,70,1,1,Startup,9.24,28.0,69.9,3,3
135,Male,20,BSc,DS,7.77,0,3,4,6,4,83,3,1,Product,13.25,31.0,77.69999999999999,10,10
136,Male,22,BTech,IT,6.69,1,2,2,6,2,91,5,1,Product,4.82,33.0,61.900000000000006,9,9
137,Male,23,BTech,DS,8.51,2,3,2,8,5,87,4,1,Product,7.72,33.333333333333336,75.1,9,9
138,Male,21,BCA,Electrical,7.27,3,2,4,1,1,89,2,0,,0.0,30.333333333333332,57.69999999999999,8,8
139,Male,21,BSc,CS,6.86,3,0,2,10,2,87,1,1,Product,9.56,33.0,53.60000000000001,3,3
140,Male,24,BE,Electrical,9.54,1,2,2,3,7,60,3,0,,0.0,23.333333333333332,90.39999999999999,7,7
141,Female,21,BSc,CS,6.63,3,0,5,2,5,98,0,0,,0.0,35.0,51.3,5,5
142,Male,20,BCA,AI,7.21,0,3,4,1,10,49,2,0,,0.0,20.0,72.1,9,9
143,Female,23,BTech,Mechanical,7.14,0,0,1,6,8,66,4,1,Service,10.76,26.666666666666668,71.39999999999999,5,5
144,Female,22,BTech,DS,6.54,3,1,5,4,6,72,5,0,,0.0,27.333333333333332,50.400000000000006,11,11
145,Female,23,BCA,Electrical,6.44,3,1,2,6,8,55,2,0,,0.0,23.0,49.400000000000006,5,5
146,Male,21,BCA,Mechanical,6.8,2,0,1,8,2,44,2,0,,0.0,18.0,58.0,3,3
147,Male,22,BSc,Mechanical,9.22,2,1,0,7,8,63,4,1,Product,3.57,26.0,82.2,5,5
148,Male,24,BTech,Mechanical,8.8,3,1,0,3,9,83,5,0,,0.0,31.666666666666668,73.0,6,6
149,Male,23,BCA,Mechanical,8.43,3,1,2,3,8,87,1,0,,0.0,32.666666666666664,69.3,4,4
150,Female,22,BSc,Mechanical,7.47,1,1,0,6,7,66,4,1,Product,6.38,26.333333333333332,69.7,5,5
151,Male,22,BSc,CS,7.68,2,2,4,1,8,93,5,0,,0.0,34.0,66.8,11,11
152,Male,22,BE,IT,6.65,3,1,2,3,2,53,5,0,,0.0,19.333333333333332,51.5,8,8
153,Male,20,BTech,DS,5.82,1,3,4,8,6,49,4,0,,0.0,21.0,53.2,11,11
154,Male,23,BSc,DS,6.92,2,0,1,3,7,96,0,0,,0.0,35.333333333333336,59.2,1,1
155,Male,22,BCA,CS,7.63,1,3,3,1,9,55,1,0,,0.0,21.666666666666668,71.3,7,7
156,Female,23,BTech,Electrical,5.75,3,1,3,10,3,68,1,0,,0.0,27.0,42.5,5,5
157,Male,22,BCA,CS,5.88,0,3,5,9,6,54,3,0,,0.0,23.0,58.8,11,11
158,Female,24,BCA,Mechanical,6.63,0,1,2,2,8,61,3,0,,0.0,23.666666666666668,66.3,6,6
159,Male,24,BSc,IT,7.08,0,2,4,7,4,82,0,1,Product,3.63,31.0,70.8,6,6
160,Female,24,BSc,DS,7.19,0,2,3,8,5,96,5,1,Service,8.37,36.333333333333336,71.9,10,10
161,Male,21,BE,Electrical,6.01,3,2,2,3,2,45,0,0,,0.0,16.666666666666668,45.099999999999994,4,4
162,Male,22,BCA,AI,6.47,0,1,5,7,10,98,3,0,,0.0,38.333333333333336,64.7,9,9
163,Female,21,BSc,CS,6.63,0,0,3,10,7,90,3,1,Service,9.56,35.666666666666664,66.3,6,6
164,Female,23,BE,AI,5.79,3,2,5,4,8,86,1,0,,0.0,32.666666666666664,42.9,8,8
165,Female,21,BTech,DS,6.9,2,1,3,2,6,66,3,0,,0.0,24.666666666666668,59.0,7,7
166,Male,23,BE,CS,5.81,2,1,0,4,9,68,4,0,,0.0,27.0,48.099999999999994,5,5
167,Female,23,BE,DS,8.52,2,3,2,8,3,84,5,1,Startup,6.31,31.666666666666668,75.19999999999999,10,10
168,Male,23,BCA,CS,7.16,1,1,5,2,9,67,2,0,,0.0,26.0,66.6,8,8
169,Male,21,BTech,Electrical,6.91,2,3,5,6,9,58,4,0,,0.0,24.333333333333332,59.099999999999994,12,12
170,Female,22,BCA,DS,6.04,3,2,3,10,9,72,5,0,,0.0,30.333333333333332,45.4,10,10
171,Female,21,BCA,AI,6.47,2,3,5,3,6,49,3,0,,0.0,19.333333333333332,54.7,11,11
172,Male,22,BE,IT,6.5,1,1,2,3,9,95,2,0,,0.0,35.666666666666664,60.0,5,5
173,Male,22,BE,Electrical,9.74,1,3,0,6,7,50,0,0,,0.0,21.0,92.4,3,3
174,Female,23,BSc,Electrical,9.09,0,2,2,3,8,83,3,0,,0.0,31.333333333333332,90.9,7,7
175,Female,21,BE,CS,5.57,3,1,0,2,8,69,3,0,,0.0,26.333333333333332,40.7,4,4
176,Female,22,BSc,AI,8.15,2,0,3,2,8,53,0,0,,0.0,21.0,71.5,3,3
177,Male,24,BCA,DS,6.6,2,0,5,3,3,55,3,0,,0.0,20.333333333333332,56.0,8,8
178,Male,22,BE,AI,5.95,3,1,5,2,6,46,2,0,,0.0,18.0,44.5,8,8
179,Male,24,BTech,Electrical,8.53,3,2,3,6,7,92,0,1,Startup,7.27,35.0,70.3,5,5
180,Male,21,BTech,CS,6.07,3,1,3,4,4,43,0,0,,0.0,17.0,45.7,4,4
181,Male,21,BCA,AI,7.41,3,0,0,1,4,55,1,0,,0.0,20.0,59.099999999999994,1,1
182,Male,21,BCA,DS,8.22,3,1,1,3,7,99,3,0,,0.0,36.333333333333336,67.2,5,5
183,Female,22,BE,Mechanical,7.88,3,3,0,10,2,90,1,1,Product,5.83,34.0,63.8,4,4
184,Male,20,BSc,Electrical,9.7,3,3,0,3,8,74,2,0,,0.0,28.333333333333332,82.0,5,5
185,Male,22,BE,IT,8.88,1,2,5,4,6,48,5,0,,0.0,19.333333333333332,83.80000000000001,12,12
186,Male,22,BSc,IT,8.83,0,2,4,6,9,88,2,1,Service,10.67,34.333333333333336,88.3,8,8
187,Female,23,BE,Electrical,7.03,2,2,3,1,5,75,0,0,,0.0,27.0,60.3,5,5
188,Male,23,BTech,Mechanical,5.54,1,2,3,2,10,48,1,0,,0.0,20.0,50.4,6,6
189,Male,22,BTech,CS,8.66,1,3,4,10,10,71,3,1,Service,12.77,30.333333333333332,81.6,10,10
190,Female,24,BSc,AI,9.8,2,0,5,3,1,85,2,0,,0.0,29.666666666666668,88.0,7,7
191,Male,23,BE,AI,7.25,1,2,1,5,7,96,1,1,Startup,10.19,36.0,67.5,4,4
192,Male,22,BCA,Mechanical,9.74,3,2,2,7,4,65,0,1,Service,9.67,25.333333333333332,82.4,4,4
193,Male,20,BSc,Mechanical,6.11,1,0,3,1,10,96,4,0,,0.0,35.666666666666664,56.1,7,7
194,Male,24,BTech,DS,6.78,2,2,3,2,4,83,0,0,,0.0,29.666666666666668,57.8,5,5
195,Male,21,BSc,DS,6.23,0,0,0,4,3,58,5,0,,0.0,21.666666666666668,62.300000000000004,5,5
196,Female,22,BE,IT,7.54,2,2,1,10,5,92,0,1,Product,5.57,35.666666666666664,65.4,3,3
197,Female,22,BCA,CS,8.93,0,2,1,1,6,82,1,0,,0.0,29.666666666666668,89.3,4,4
198,Female,24,BCA,CS,6.96,3,2,5,1,3,43,4,0,,0.0,15.666666666666666,54.599999999999994,11,11
199,Male,23,BSc,Mechanical,9.4,1,3,1,9,8,70,3,1,Service,5.56,29.0,89.0,7,7
200,Male,23,BE,IT,7.84,2,3,1,6,2,52,0,0,,0.0,20.0,68.4,4,4
201,Male,23,BE,IT,7.5,2,3,4,2,7,85,0,0,,0.0,31.333333333333332,65.0,7,7
202,Female,21,BCA,DS,8.88,0,2,0,10,1,49,4,0,,0.0,20.0,88.80000000000001,6,6
203,Male,24,BTech,AI,5.94,1,3,5,7,9,87,3,0,,0.0,34.333333333333336,54.400000000000006,11,11
204,Male,24,BE,CS,8.83,2,3,4,10,9,59,0,0,,0.0,26.0,78.3,7,7
205,Female,23,BCA,IT,6.54,2,3,4,6,5,91,0,1,Product,12.94,34.0,55.400000000000006,7,7
206,Male,23,BCA,DS,6.71,1,1,2,6,2,45,1,0,,0.0,17.666666666666668,62.099999999999994,4,4
207,Female,20,BE,DS,8.08,3,3,0,8,6,83,5,1,Service,9.51,32.333333333333336,65.8,8,8
208,Female,20,BE,DS,9.38,0,1,1,10,10,87,1,1,Startup,10.84,35.666666666666664,93.80000000000001,3,3
209,Female,22,BSc,AI,7.99,2,3,5,3,5,47,2,0,,0.0,18.333333333333332,69.9,10,10
210,Male,22,BTech,IT,8.29,1,2,0,10,4,74,1,1,Product,3.58,29.333333333333332,77.89999999999999,3,3
211,Male,24,BSc,Mechanical,8.84,3,2,1,2,2,54,3,0,,0.0,19.333333333333332,73.4,6,6
212,Male,24,BSc,Mechanical,6.62,2,2,2,9,5,68,2,1,Startup,4.43,27.333333333333332,56.2,6,6
213,Male,21,BCA,DS,9.06,3,1,3,5,8,89,1,1,Service,8.14,34.0,75.60000000000001,5,5
214,Male,21,BCA,DS,7.3,2,2,4,6,2,47,4,0,,0.0,18.333333333333332,63.0,10,10
215,Male,20,BTech,AI,6.26,2,0,2,7,7,48,1,0,,0.0,20.666666666666668,52.599999999999994,3,3
216,Male,22,BSc,DS,7.01,3,3,4,2,3,68,5,0,,0.0,24.333333333333332,55.099999999999994,12,12
217,Female,20,BSc,Electrical,6.56,0,1,5,6,6,62,1,1,Product,14.57,24.666666666666668,65.6,7,7
218,Male,20,BCA,IT,6.48,3,1,1,1,4,91,5,0,,0.0,32.0,49.80000000000001,7,7
219,Female,22,BCA,DS,6.72,1,1,5,9,6,94,1,1,Service,12.59,36.333333333333336,62.2,7,7
220,Male,21,BE,DS,6.28,2,2,1,6,2,51,5,0,,0.0,19.666666666666668,52.800000000000004,8,8
221,Male,22,BSc,IT,8.37,3,0,2,7,10,67,0,1,Product,9.78,28.0,68.69999999999999,2,2
222,Male,23,BTech,CS,7.99,3,1,3,5,5,86,5,1,Product,12.45,32.0,64.9,9,9
223,Female,23,BSc,Electrical,8.29,2,3,3,2,2,83,4,0,,0.0,29.0,72.89999999999999,10,10
224,Female,23,BCA,Electrical,6.98,2,3,4,4,8,54,2,0,,0.0,22.0,59.80000000000001,9,9
225,Female,24,BE,Mechanical,8.81,3,0,1,5,9,89,0,1,Service,4.81,34.333333333333336,73.10000000000001,1,1
226,Female,21,BSc,DS,6.06,0,3,1,10,8,74,4,0,,0.0,30.666666666666668,60.599999999999994,8,8
227,Male,21,BTech,IT,7.96,2,0,3,2,1,68,2,0,,0.0,23.666666666666668,69.6,5,5
228,Female,24,BCA,Mechanical,6.68,3,3,1,9,5,97,5,1,Product,14.49,37.0,51.8,9,9
229,Male,20,BE,AI,7.77,1,0,5,2,4,57,1,0,,0.0,21.0,72.69999999999999,6,6
230,Male,23,BSc,CS,6.89,0,2,1,2,4,79,0,0,,0.0,28.333333333333332,68.89999999999999,3,3
231,Female,23,BTech,DS,8.9,1,3,2,2,7,57,2,0,,0.0,22.0,84.0,7,7
232,Female,20,BCA,CS,9.33,2,3,3,2,10,49,1,0,,0.0,20.333333333333332,83.3,7,7
233,Female,22,BTech,DS,8.69,2,3,3,5,10,46,0,0,,0.0,20.333333333333332,76.89999999999999,6,6
234,Female,22,BSc,DS,6.26,0,2,5,7,4,41,2,0,,0.0,17.333333333333332,62.599999999999994,9,9
235,Female,21,BCA,DS,6.68,2,2,5,1,1,57,2,0,,0.0,19.666666666666668,56.8,9,9
236,Female,24,BSc,CS,9.45,1,1,0,9,3,81,0,1,Startup,11.39,31.0,89.5,1,1
237,Female,21,BE,Electrical,7.38,3,1,5,6,8,90,0,1,Startup,5.98,34.666666666666664,58.8,6,6
238,Female,22,BSc,AI,9.55,3,0,3,1,10,74,5,0,,0.0,28.333333333333332,80.5,8,8
239,Male,20,BE,Electrical,7.19,1,1,3,1,7,77,5,0,,0.0,28.333333333333332,66.9,9,9
240,Female,21,BSc,IT,9.59,1,3,5,9,2,49,2,0,,0.0,20.0,90.9,10,10
241,Female,23,BTech,IT,9.48,2,2,0,9,7,59,3,0,,0.0,25.0,84.80000000000001,5,5
242,Male,23,BTech,Electrical,8.34,2,2,1,1,2,96,1,0,,0.0,33.0,73.4,4,4
243,Female,20,BCA,AI,5.54,0,2,1,1,6,49,2,0,,0.0,18.666666666666668,55.4,5,5
244,Male,22,BTech,AI,7.22,3,2,4,5,8,52,0,0,,0.0,21.666666666666668,57.2,6,6
245,Male,23,BTech,DS,9.42,0,0,1,5,3,92,2,1,Service,13.52,33.333333333333336,94.2,3,3
